  ,index,省份     ,城市  ,高客单   ,低客单   ,总人数   ,高客单占比              ,高客单TGI指数
0 ,287  ,福建省    ,福州市 ,145.0 ,135.0 ,280.0 ,0.5178571428571429 ,124.69980739855218
1 ,124  ,广东省    ,珠海市 ,49.0  ,52.0  ,101.0 ,0.48514851485148514,116.82358193978395
2 ,27   ,北京     ,北京市 ,1203.0,1298.0,2501.0,0.48100759696121553,115.82645045189734
3 ,283  ,福建省    ,厦门市 ,105.0 ,118.0 ,223.0 ,0.47085201793721976,113.3809907999825
4 ,111  ,广东省    ,佛山市 ,118.0 ,135.0 ,253.0 ,0.466403162055336  ,112.30970795824354
5 ,173  ,江西省    ,南昌市 ,63.0  ,73.0  ,136.0 ,0.4632352941176471 ,111.54688653704162
6 ,46   ,四川省    ,成都市 ,287.0 ,334.0 ,621.0 ,0.46215780998389694,111.28742875837251
7 ,0    ,上海     ,上海市 ,2374.0,2818.0,5192.0,0.45724191063174113,110.10368202269487
8 ,164  ,江苏省    ,无锡市 ,135.0 ,162.0 ,297.0 ,0.45454545454545453,109.4543763999831
9 ,120  ,广东省    ,深圳市 ,438.0 ,528.0 ,966.0 ,0.453416149068323  ,109.18244006110116
10,112  ,广东省    ,广州市 ,533.0 ,654.0 ,1187.0,0.44903117101937656,108.12653897777606
11,216  ,浙江省    ,温州市 ,100.0 ,124.0 ,224.0 ,0.44642857142857145,107.49983396426911
12,215  ,浙江省    ,杭州市 ,318.0 ,396.0 ,714.0 ,0.44537815126050423,107.24689317847084
13,170  ,江苏省    ,镇江市 ,39.0  ,50.0  ,89.0  ,0.43820224719101125,105.51893814739944
14,285  ,福建省    ,泉州市 ,57.0  ,77.0  ,134.0 ,0.4253731343283582 ,102.42969254147671
15,244  ,湖北省    ,武汉市 ,275.0 ,373.0 ,648.0 ,0.4243827160493827 ,102.19120018825582
16,267  ,湖南省    ,长沙市 ,108.0 ,149.0 ,257.0 ,0.42023346303501946,101.1920616055875
17,87   ,山东省    ,济南市 ,80.0  ,111.0 ,191.0 ,0.418848167539267  ,100.85848296542946
18,159  ,江苏省    ,南通市 ,61.0  ,85.0  ,146.0 ,0.4178082191780822 ,100.60806378683378
19,214  ,浙江省    ,宁波市 ,121.0 ,169.0 ,290.0 ,0.41724137931034483,100.47156895750173
20,7    ,云南省    ,昆明市 ,71.0  ,100.0 ,171.0 ,0.4152046783625731 ,99.98113212676817
21,306  ,辽宁省    ,大连市 ,94.0  ,133.0 ,227.0 ,0.41409691629955947,99.71438343399342
22,212  ,浙江省    ,台州市 ,45.0  ,65.0  ,110.0 ,0.4090909090909091 ,98.5089387599848
23,221  ,浙江省    ,金华市 ,51.0  ,74.0  ,125.0 ,0.408              ,98.24624825662482
24,130  ,广西壮族自治区,南宁市 ,54.0  ,79.0  ,133.0 ,0.40601503759398494,97.76827004750369
25,158  ,江苏省    ,南京市 ,235.0 ,354.0 ,589.0 ,0.398981324278438  ,96.07455449709892
26,100  ,山西省    ,太原市 ,65.0  ,99.0  ,164.0 ,0.39634146341463417,95.4388769829121
27,337  ,黑龙江省   ,哈尔滨市,85.0  ,132.0 ,217.0 ,0.391705069124424  ,94.32243496219742
28,113  ,广东省    ,惠州市 ,36.0  ,56.0  ,92.0  ,0.391304347826087  ,94.22594142259415
29,213  ,浙江省    ,嘉兴市 ,59.0  ,93.0  ,152.0 ,0.3881578947368421 ,93.46827668893293
30,310  ,辽宁省    ,沈阳市 ,113.0 ,180.0 ,293.0 ,0.3856655290102389 ,92.86811594892764
31,58   ,天津     ,天津市 ,203.0 ,335.0 ,538.0 ,0.37732342007434944,90.85933921976293
32,161  ,江苏省    ,常州市 ,62.0  ,105.0 ,167.0 ,0.3712574850299401 ,89.39866431711194
33,299  ,贵州省    ,贵阳市 ,47.0  ,80.0  ,127.0 ,0.3700787401574803 ,89.11482299022246
34,168  ,江苏省    ,苏州市 ,183.0 ,312.0 ,495.0 ,0.3696969696969697 ,89.02289280531959
35,66   ,安徽省    ,合肥市 ,76.0  ,131.0 ,207.0 ,0.3671497584541063 ,88.40952528539698
36,328  ,陕西省    ,西安市 ,111.0 ,200.0 ,311.0 ,0.35691318327974275,85.94456179059766
37,36   ,吉林省    ,长春市 ,49.0  ,89.0  ,138.0 ,0.35507246376811596,85.5013172167984
38,319  ,重庆     ,重庆市 ,161.0 ,298.0 ,459.0 ,0.35076252723311546,84.46348610212203
39,188  ,河北省    ,石家庄市,48.0  ,92.0  ,140.0 ,0.34285714285714286,82.55987248455868
40,109  ,广东省    ,中山市 ,29.0  ,56.0  ,85.0  ,0.3411764705882353 ,82.15516722728144
41,96   ,山东省    ,青岛市 ,90.0  ,174.0 ,264.0 ,0.3409090909090909 ,82.09078229998732
42,218  ,浙江省    ,绍兴市 ,46.0  ,89.0  ,135.0 ,0.34074074074074073,82.0502436420614
43,116  ,广东省    ,汕头市 ,31.0  ,60.0  ,91.0  ,0.34065934065934067,82.03064253273459
44,208  ,河南省    ,郑州市 ,78.0  ,159.0 ,237.0 ,0.3291139240506329 ,79.25051050732954
45,108  ,广东省    ,东莞市 ,87.0  ,197.0 ,284.0 ,0.30633802816901406,73.76608324984775
46,92   ,山东省    ,烟台市 ,24.0  ,76.0  ,100.0 ,0.24               ,57.791910739191074
